license,name,municipality,county,county_source,address,city,zip,lat,lon,status
180700816,"Tri-State Investors Group, LLC",Henderson County,Henderson,igb_licensee_list,697A US Route 34,Carman,61425,,,needs_coordinates
180700817,"Tri-State Investors Group, LLC",Carthage,Hancock,igb_licensee_list,501A Buchanan Street,Carthage,62321,,,needs_coordinates
180700818,"Tri-State Investors Group, LLC",Hamilton,Hancock,igb_licensee_list,1390A Keokuk Street,Hamilton,62341,,,needs_coordinates
180701469,"Tri-State Investors Group, LLC",Pittsfield,Pike,igb_licensee_list,101A N. Memorial Street,Pittsfield,623631432,,,needs_coordinates
180701484,"Tri-State Investors Group, LLC",Quincy,Adams,igb_licensee_list,1801A Broadway,Quincy,62301,,,needs_coordinates
180701485,"Tri-State Investors Group, LLC",Quincy,Adams,igb_licensee_list,4727A State Street,Quincy,62305,,,needs_coordinates
200700449,"Tri-State Investors Group, LLC",Lincoln,Logan,igb_licensee_list,705A Woodlawn Road,Lincoln,62656,,,needs_coordinates
200700451,"Tri-State Investors Group, LLC",Rushville,Schuyler,igb_licensee_list,141A South Congress Street,Rushville,62681,,,needs_coordinates
150702588,"Trident Partners Champaign Station, LLC",Champaign,Champaign,igb_licensee_list,515 Town Center Blvd,Champaign,61822,,,needs_coordinates
140702535,"Trident Partners Decatur Airport Plaza, LLC",Decatur,Macon,igb_licensee_list,4831 E. US Route 36,Decatur,62526,,,needs_coordinates
160701575,"TRIPLE 777, LLC",Chicago Ridge,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
240702585,Triple C Convenience Store LLC,Cutler,Perry,igb_licensee_list,103 South Main Street,Cutler,62238,,,needs_coordinates
200702587,Trishu Inc.,East Alton,,,,,,,,needs_address_and_coordinates
210703653,TRM & CLT LLC,Greene County,Greene,igb_licensee_list,155 N. State Rt. 267,Greenfield,62044,,,needs_coordinates
180703627,TROUT INCORPORATED,Alexis,Warren,igb_licensee_list,113-115 SOUTH MAIN ST,Alexis,61412,,,needs_coordinates
